date,city,country,venue,details
02-24-2011,Birmingham,England,HMV Institute,with Mogwai - review + photos
02-23-2011,Oxford,England,The Regal,with Mogwai and Konx-om-Pax
02-21-2011,Edinburgh,Scotland,HMV Picture House,with Mogwai
02-20-2011,Leeds,England,O2 Academy Leeds,with Mogwai and Konx-om-Pax - video: 3iii - downstairs - sheepdug - rabbit
02-19-2011,Bristol,England,O2 Academy Bristol,with Mogwai and Konx-om-Pax
02-18-2011,Cardiff,Wales,Cardiff University,with Mogwai and Konx-om-Pax
02-17-2011,Bournemouth,England,O2 Academy Bournemouth-,with Mogwai and Konx-om-Pax
02-16-2011,Cambridge,England,The Haymakers,with The October Game
02-10-2011,Glasgow,Scotland,Strathclyde University,with Endor and Kasule
10-17-2010,Glasgow,Scotland,Òran Mór,with Unwinding Hours and RM Hubbert - video: the room - rabbit - photos
10-16-2010,Nottingham,England,BBC Studios,video: wrong car + rabbit
10-12-2010,Edinburgh,Scotland,Liquid Room,with Errors
10-11-2010,Leeds,England,The Cockpit,with Errors
10-10-2010,Bristol,England,Fleece,with Errors
10-09-2010,Brighton,England,Audio,with Errors
10-07-2010,London,England,XOYO,with Errors - photos
10-06-2010,Manchester,England,The Deaf Institute,with Errors - video (poor quality): prossy - sheepdug - rabbit
10-05-2010,Nottingham,England,Stealth,with Errors
10-04-2010,Newcastle,England,The Cluny,with Errors - video: prossy - sheepdug - photos
10-01-2010,Stirling,Scotland,The Tolbooth,with Errors
09-30-2010,Dundee,Scotland,Doghouse,with Errors and Pensioner - photos
09-29-2010,Aberdeen,Scotland,Lemon Tree,with Errors - review
07-23-2010,Sheffield,England,Barker's Pool,Tramlines Festival 2010 - photo
06-11-2010,"Austin, TX",USA,Emo's,with Calm Blue Sea - photos
06-10-2010,"Houston, TX",USA,Rudyards,with Mono - photos
06-09-2010,"Baton Rouge, LA",USA,Spanish Moon,with Mono
06-08-2010,"Little Rock, AR",USA,Revolution Music Room,with Mono
06-07-2010,"Memphis, TN",USA,Hi-Tone Café,with Mono
06-06-2010,"Nashville, TN",USA,Exit/In,with Mono - video (poor quality): hit single
06-05-2010,"Atlanta, GA",USA,The Masquerade,with Mono
06-04-2010,"Durham, NC",USA,North State Sound,with Mono
06-02-2010,"Washington, DC",USA,9:30 Club,with Mono
06-01-2010,"Philadelphia, PA",USA,First Unitarian Church,with Mono
05-30-2010,"New York, NY",USA,Bowery Ballroom,with Mono - video: downstairs - hit single - the room - review + photos
05-29-2010,"Milford, CT",USA,Daniel Street,with Mono - photos
05-28-2010,"Cambridge, MA",USA,The Middle East,with Mono - video: faster - prossy - 3iii
05-27-2010,"Montreal, QC",Canada,La Sala Rossa,with Mono
05-26-2010,"Toronto, ON",Canada,Lee's Palace,with Mono
05-25-2010,"Pittsburgh, PA",USA,Brillobox,with Mono - video: rabbit - prossy - faster - sheepdug
05-24-2010,"Cleveland Heights, OH",USA,Grog Shop,with Mono
05-23-2010,"Detroit, MI",USA,Magic Stick,with Mono
05-22-2010,"Chicago, IL",USA,Lincoln Hall,with Mono - video: faster - sheepdug - photos
05-21-2010,"Milwaukee, WI",USA,Turner Hall Ballroom,with Mono - video: prossy
05-20-2010,"Madison, WI",USA,High Noon Saloon,with Mono
05-19-2010,"Minneapolis, MN",USA,Triple Rock Social Club,"with Mono - video (poor quality, incomplete): 3iii - photos"
05-18-2010,"Des Moines, IA",USA,Vaudeville Mews,with Mono
05-17-2010,"Omaha, NE",USA,The Waiting Room Lounge,with Mono - poster
05-15-2010,"Denver, CO",USA,Bluebird Theater,with Mono - video: downstairs - prossy - rabbit - 3iii
